GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
smart-office,com.smartoffice.auth.api,UserResponse,0,15,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.api,AuthResponse,0,12,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.api,AuthController,0,24,0,0,0,5,0,4,0,4
smart-office,com.smartoffice.auth.api,RegisterRequest,0,12,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.api,MessageResponse,0,6,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.api,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.api,LoginRequest,0,9,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.service,JwtTokenService,2,125,1,3,0,36,1,9,0,8
smart-office,com.smartoffice.auth.service,CustomUserDetailsService,29,0,0,0,6,0,2,0,2,0
smart-office,com.smartoffice.auth.service,AuthService,20,189,4,8,3,34,5,7,1,5
smart-office,com.smartoffice.auth.service,LoginAttemptService,17,143,10,16,2,35,8,10,0,5
smart-office,com.smartoffice.common.exception,ApiExceptionHandler,76,69,0,0,14,13,3,3,3,3
smart-office,com.smartoffice.common.exception,TooManyRequestsException,0,4,0,0,0,2,0,1,0,1
smart-office,com.smartoffice.security.api,SecureAccessController,18,11,0,0,4,3,2,3,2,3
smart-office,com.smartoffice.auth.domain,Role,0,21,0,0,0,4,0,1,0,1
smart-office,com.smartoffice.auth.domain,UserAccount,0,4,0,0,0,2,0,1,0,1
smart-office,com.smartoffice,SmartOfficeApplication,5,3,0,0,2,1,1,1,1,1
smart-office,com.smartoffice.common.security,SecurityConfig,0,97,0,0,0,16,0,7,0,7
smart-office,com.smartoffice.common.security,JwtAuthenticationFilter,11,75,6,8,5,18,6,2,0,1
smart-office,com.smartoffice.auth.service.store,InMemoryLoginAttemptStore.Entry,0,9,0,0,0,1,0,1,0,1
smart-office,com.smartoffice.auth.service.store,RedisRefreshTokenRevocationStore,44,0,0,0,11,0,3,0,3,0
smart-office,com.smartoffice.auth.service.store,InMemoryRefreshTokenRevocationStore,0,47,0,2,0,10,0,6,0,5
smart-office,com.smartoffice.auth.service.store,RedisLoginAttemptStore,114,0,10,0,26,0,10,0,5,0
smart-office,com.smartoffice.auth.service.store,InMemoryLoginAttemptStore,0,71,0,4,0,14,0,8,0,6
smart-office,com.smartoffice.auth.service.store,LoginAttemptSnapshot,0,12,0,0,0,1,0,1,0,1
